,Stack,Input,Rule
26,"['Functions', '}', 'content', 'loop']","['while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",content -> loop content
27,"['Functions', '}', 'content', '}', 'content', '{', ')', 'condition', '(', 'while']","['while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",loop -> while ( condition ) { content }
28,"['Functions', '}', 'content', '}', 'content', '{', ')', 'condition', '(']","['(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
29,"['Functions', '}', 'content', '}', 'content', '{', ')', 'condition']","['Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
30,"['Functions', '}', 'content', '}', 'content', '{', ')', 'NameOrValue', 'doubleOperator', 'NameOrValue']","['Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",condition -> NameOrValue doubleOperator NameOrValue
31,"['Functions', '}', 'content', '}', 'content', '{', ')', 'NameOrValue', 'doubleOperator', 'Name']","['Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",NameOrValue -> Name
32,"['Functions', '}', 'content', '}', 'content', '{', ')', 'NameOrValue', 'doubleOperator']","['<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
33,"['Functions', '}', 'content', '}', 'content', '{', ')', 'NameOrValue', '==']","['<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",doubleOperator -> ==
34,"['Functions', '}', 'content', '}', 'content', '{', ')', 'NameOrValue']","['IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
35,"['Functions', '}', 'content', '}', 'content', '{', ')', 'valueVariable']","['IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",NameOrValue -> valueVariable
36,"['Functions', '}', 'content', '}', 'content', '{', ')', 'CharacterValue']","['IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",valueVariable -> CharacterValue
37,"['Functions', '}', 'content', '}', 'content', '{', ')']","[')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
38,"['Functions', '}', 'content', '}', 'content', '{']","['{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
39,"['Functions', '}', 'content', '}', 'content']","['Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
40,"['Functions', '}', 'content', '}', 'content', ';', 'Akshat']","['Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",content -> Akshat ; content
41,"['Functions', '}', 'content', '}', 'content', ';', 'Aryan', 'Name']","['Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",Akshat -> Name Aryan
42,"['Functions', '}', 'content', '}', 'content', ';', 'Aryan']","['(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
43,"['Functions', '}', 'content', '}', 'content', ';', 'functionCall']","['(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",Aryan -> functionCall
44,"['Functions', '}', 'content', '}', 'content', ';', ')', 'arguments', '(']","['(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",functionCall -> ( arguments )
45,"['Functions', '}', 'content', '}', 'content', ';', ')', 'arguments']","['Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
46,"['Functions', '}', 'content', '}', 'content', ';', ')', 'names']","['Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",arguments -> names
47,"['Functions', '}', 'content', '}', 'content', ';', ')', 'names', 'NameOrValueOrOperations']","['Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",	names -> NameOrValueOrOperations names
48,"['Functions', '}', 'content', '}', 'content', ';', ')', 'names', 'Decide', 'NameOrValue']","['Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",NameOrValueOrOperations -> NameOrValue Decide
49,"['Functions', '}', 'content', '}', 'content', ';', ')', 'names', 'Decide', 'Name']","['Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",NameOrValue -> Name
50,"['Functions', '}', 'content', '}', 'content', ';', ')', 'names', 'Decide']","[')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
51,"['Functions', '}', 'content', '}', 'content', ';', ')', 'names']","[')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",Decide -> ''
52,"['Functions', '}', 'content', '}', 'content', ';', ')']","[')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",names -> ''
53,"['Functions', '}', 'content', '}', 'content', ';']","[';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
54,"['Functions', '}', 'content', '}', 'content']","['Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
55,"['Functions', '}', 'content', '}', 'content', ';', 'Akshat']","['Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",content -> Akshat ; content
56,"['Functions', '}', 'content', '}', 'content', ';', 'Aryan', 'Name']","['Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",Akshat -> Name Aryan
57,"['Functions', '}', 'content', '}', 'content', ';', 'Aryan']","['=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
58,"['Functions', '}', 'content', '}', 'content', ';', 'operation']","['=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",Aryan -> operation
59,"['Functions', '}', 'content', '}', 'content', ';', 'operationRHS', 'NameOrValue', '=']","['=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",operation -> = NameOrValue operationRHS
60,"['Functions', '}', 'content', '}', 'content', ';', 'operationRHS', 'NameOrValue']","['Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
61,"['Functions', '}', 'content', '}', 'content', ';', 'operationRHS', 'Name']","['Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",NameOrValue -> Name
62,"['Functions', '}', 'content', '}', 'content', ';', 'operationRHS']","['+', 'IntegerValue', ';', '}', '}', ';', 'end']",
63,"['Functions', '}', 'content', '}', 'content', ';', 'NameOrValue', 'operators']","['+', 'IntegerValue', ';', '}', '}', ';', 'end']",operationRHS -> operators NameOrValue
64,"['Functions', '}', 'content', '}', 'content', ';', 'NameOrValue', '+']","['+', 'IntegerValue', ';', '}', '}', ';', 'end']",operators -> +
65,"['Functions', '}', 'content', '}', 'content', ';', 'NameOrValue']","['IntegerValue', ';', '}', '}', ';', 'end']",
66,"['Functions', '}', 'content', '}', 'content', ';', 'valueVariable']","['IntegerValue', ';', '}', '}', ';', 'end']",NameOrValue -> valueVariable
67,"['Functions', '}', 'content', '}', 'content', ';', 'CharacterValue']","['IntegerValue', ';', '}', '}', ';', 'end']",valueVariable -> CharacterValue
68,"['Functions', '}', 'content', '}', 'content', ';']","[';', '}', '}', ';', 'end']",
69,"['Functions', '}', 'content', '}', 'content']","['}', '}', ';', 'end']",
70,"['Functions', '}', 'content', '}']","['}', '}', ';', 'end']",content -> ''
71,"['Functions', '}', 'content']","['}', ';', 'end']",
72,"['Functions', '}']","['}', ';', 'end']",content -> ''
73,['Functions'],"[';', 'end']",
74,[';'],"[';', 'end']",Functions -> ;
75,[],['end'],
