,First,Follows,NonTerminals,;,(,),{,},Name,void,char,short,int,long,float,double,string,",",return,if,else,==,<=,>=,!=,>,<,=,CharacterValue,StringValue,FloatValue,IntegerValue,while,+,-,/,*,&,|,^,%,end
15,"['else', ""''""]","['}', 'if', 'void', 'char', 'short', 'int', 'long', 'float', 'double', 'string', 'while', 'Name', 'return', 'end']",Extra,scan,scan,scan,scan,Extra -> '',Extra -> '',Extra -> '',Extra -> '',Extra -> '',Extra -> '',Extra -> '',Extra -> '',Extra -> '',Extra -> '',pop,Extra -> '',Extra -> '',Extra -> else { content },scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,Extra -> '',scan,scan,scan,scan,scan,scan,scan,scan,pop
16,"['Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue']","[')', 'end']",condition,scan,scan,pop,scan,scan,condition -> NameOrValue doubleOperator NameOrValue,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,condition -> NameOrValue doubleOperator NameOrValue,condition -> NameOrValue doubleOperator NameOrValue,condition -> NameOrValue doubleOperator NameOrValue,condition -> NameOrValue doubleOperator NameOrValue,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
17,"['Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue']","['==', '<=', '>=', '!=', '>', '<', ')', '', ',', 'Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue', '+', '-', '/', '*', '&', '|', '^', '%', ';', 'end']",NameOrValue,pop,scan,pop,scan,scan,NameOrValue -> Name,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,pop,pop,pop,pop,pop,pop,pop,NameOrValue -> valueVariable,NameOrValue -> valueVariable,NameOrValue -> valueVariable,NameOrValue -> valueVariable,scan,pop,pop,pop,pop,pop,pop,pop,pop,pop
18,"['==', '<=', '>=', '!=', '>', '<']","['Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue', 'end']",doubleOperator,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,doubleOperator -> ==,doubleOperator -> ==,doubleOperator -> ==,doubleOperator -> ==,doubleOperator -> ==,doubleOperator -> ==,scan,pop,pop,pop,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
19,"['void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']","[';', 'end']",variableInitialization,pop,scan,scan,scan,scan,scan,variableInitialization -> type-specifier Name moreVariable,variableInitialization -> type-specifier Name moreVariable,variableInitialization -> type-specifier Name moreVariable,variableInitialization -> type-specifier Name moreVariable,variableInitialization -> type-specifier Name moreVariable,variableInitialization -> type-specifier Name moreVariable,variableInitialization -> type-specifier Name moreVariable,variableInitialization -> type-specifier Name moreVariable,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
20,"['=', ""''""]","[';', 'end']",moreVariable,moreVariable -> '',scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,moreVariable -> = valueVariable,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
21,"['CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue']","['==', '<=', '>=', '!=', '>', '<', ')', ',', 'Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue', '+', '-', '/', '*', '&', '|', '^', '%', ';', 'end']",valueVariable,pop,scan,pop,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,pop,pop,pop,pop,pop,pop,pop,valueVariable -> CharacterValue,valueVariable -> CharacterValue,valueVariable -> CharacterValue,valueVariable -> CharacterValue,scan,pop,pop,pop,pop,pop,pop,pop,pop,pop
22,['('],"[';', 'end']",functionCall,pop,functionCall -> ( arguments ),scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
23,"[',', ""''"", 'Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue']","[')', 'end']",arguments,scan,scan,arguments -> names,scan,scan,arguments -> names,scan,scan,scan,scan,scan,scan,scan,scan,arguments -> names,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,arguments -> names,arguments -> names,arguments -> names,arguments -> names,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
24,"[',', ""''"", 'Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue']","[')', 'end']",names,scan,scan,names -> '',scan,scan,	names -> NameOrValueOrOperations names,scan,scan,scan,scan,scan,scan,scan,scan,"names -> , NameOrValueOrOperations",scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,names -> NameOrValueOrOperations names,names -> NameOrValueOrOperations names,names -> NameOrValueOrOperations names,names -> NameOrValueOrOperations names,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
25,"['Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue']","[',', ')', 'Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue', 'end']",NameOrValueOrOperations,scan,scan,pop,scan,scan,NameOrValueOrOperations -> NameOrValue Decide,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,NameOrValueOrOperations -> NameOrValue Decide,NameOrValueOrOperations -> NameOrValue Decide,NameOrValueOrOperations -> NameOrValue Decide,NameOrValueOrOperations -> NameOrValue Decide,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
26,"[""''"", '+', '-', '/', '*', '&', '|', '^', '%']","[',', ')', 'Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue', 'end']",Decide,scan,scan,Decide -> '',scan,scan,Decide -> '',scan,scan,scan,scan,scan,scan,scan,scan,Decide -> '',scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,Decide -> '',Decide -> '',Decide -> '',Decide -> '',scan,Decide -> operationRHS,Decide -> operationRHS,Decide -> operationRHS,Decide -> operationRHS,Decide -> operationRHS,Decide -> operationRHS,Decide -> operationRHS,Decide -> operationRHS,pop
27,['while'],"['}', 'if', 'void', 'char', 'short', 'int', 'long', 'float', 'double', 'string', 'while', 'Name', 'return', 'end']",loop,scan,scan,scan,scan,pop,pop,pop,pop,pop,pop,pop,pop,pop,pop,pop,pop,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,loop -> while ( condition ) { content },scan,scan,scan,scan,scan,scan,scan,scan,pop
28,"['+', '-', '/', '*', '&', '|', '^', '%']","[',', ')', 'Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue', 'end']",operationRHS,scan,scan,pop,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,pop,pop,pop,scan,operationRHS -> operators NameOrValue,operationRHS -> operators NameOrValue,operationRHS -> operators NameOrValue,operationRHS -> operators NameOrValue,operationRHS -> operators NameOrValue,operationRHS -> operators NameOrValue,operationRHS -> operators NameOrValue,operationRHS -> operators NameOrValue,pop
29,['='],"[';', 'end']",operation,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,operation -> = NameOrValue operationRHS,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
30,"['+', '-', '/', '*', '&', '|', '^', '%']","['Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue', 'end']",operators,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,pop,pop,pop,scan,operators -> +,operators -> +,operators -> +,operators -> +,operators -> +,operators -> +,operators -> +,operators -> +,pop
